,loss,bound_loss,residual_loss,u_loss,v_loss
400,0.734944,0.5167604,0.21818355,0.5159111,0.0008493117
401,0.73148906,0.5129925,0.21849664,0.51224893,0.0007434833
402,0.724646,0.50760347,0.21704257,0.5067631,0.00084033224
403,0.72461617,0.51040334,0.21421278,0.5096225,0.00078082853
404,0.7243996,0.509407,0.21499257,0.50815415,0.0012528453
405,0.7281486,0.51311654,0.21503203,0.51205987,0.0010567019
406,0.7309688,0.5172397,0.21372898,0.5155271,0.0017126363
407,0.7361381,0.5215656,0.21457243,0.5203125,0.0012531712
408,0.73089135,0.5232748,0.20761654,0.52139366,0.0018811843
409,0.73478633,0.5241612,0.2106251,0.5229866,0.0011745861
410,0.7171787,0.51143825,0.20574048,0.51005733,0.0013809137
411,0.7276839,0.51336735,0.21431653,0.5123079,0.0010594928
412,0.7159935,0.5057319,0.21026163,0.5045308,0.0012010823
413,0.71875846,0.5085686,0.21018997,0.5076028,0.00096571055
414,0.6986337,0.49291998,0.2057137,0.49178815,0.0011318454
415,0.70305026,0.4946858,0.20836449,0.4936853,0.0010004926
416,0.6946937,0.4933765,0.20131727,0.49189934,0.0014771387
417,0.6985128,0.49583858,0.20267422,0.4944974,0.0013411809
418,0.68966275,0.4911929,0.19846988,0.48950553,0.0016873805
419,0.7053382,0.49825463,0.20708354,0.49734813,0.0009064845
420,0.6899141,0.486025,0.20388904,0.48507905,0.0009459488
421,0.69592077,0.4924251,0.2034957,0.49169627,0.0007288488
422,0.67325103,0.4756301,0.19762088,0.47464028,0.0009898234
423,0.67721117,0.47821397,0.19899718,0.47743726,0.0007767753
