,loss,res_loss,bound_loss
129,"tf.Tensor(0.00032391035, shape=(), dtype=float32)","tf.Tensor(1.8247515e-07, shape=(), dtype=float32)","tf.Tensor(2.7538592e-05, shape=(), dtype=float32)"
130,"tf.Tensor(0.00032389472, shape=(), dtype=float32)","tf.Tensor(1.7837115e-07, shape=(), dtype=float32)","tf.Tensor(2.7511443e-05, shape=(), dtype=float32)"
131,"tf.Tensor(0.00032341646, shape=(), dtype=float32)","tf.Tensor(1.8952147e-07, shape=(), dtype=float32)","tf.Tensor(2.7263748e-05, shape=(), dtype=float32)"
132,"tf.Tensor(0.00032699946, shape=(), dtype=float32)","tf.Tensor(2.667211e-07, shape=(), dtype=float32)","tf.Tensor(2.944289e-05, shape=(), dtype=float32)"
133,"tf.Tensor(0.00032337513, shape=(), dtype=float32)","tf.Tensor(1.945688e-07, shape=(), dtype=float32)","tf.Tensor(2.7252465e-05, shape=(), dtype=float32)"
134,"tf.Tensor(0.00032293974, shape=(), dtype=float32)","tf.Tensor(1.8483328e-07, shape=(), dtype=float32)","tf.Tensor(2.7048782e-05, shape=(), dtype=float32)"
135,"tf.Tensor(0.000322318, shape=(), dtype=float32)","tf.Tensor(1.6011819e-07, shape=(), dtype=float32)","tf.Tensor(2.6861639e-05, shape=(), dtype=float32)"
136,"tf.Tensor(0.00032229806, shape=(), dtype=float32)","tf.Tensor(1.6231989e-07, shape=(), dtype=float32)","tf.Tensor(2.6826037e-05, shape=(), dtype=float32)"
137,"tf.Tensor(0.00032161464, shape=(), dtype=float32)","tf.Tensor(1.5216779e-07, shape=(), dtype=float32)","tf.Tensor(2.6524891e-05, shape=(), dtype=float32)"
138,"tf.Tensor(0.0003241713, shape=(), dtype=float32)","tf.Tensor(1.6085303e-07, shape=(), dtype=float32)","tf.Tensor(2.8938977e-05, shape=(), dtype=float32)"
139,"tf.Tensor(0.00032145175, shape=(), dtype=float32)","tf.Tensor(1.4764224e-07, shape=(), dtype=float32)","tf.Tensor(2.6544161e-05, shape=(), dtype=float32)"
140,"tf.Tensor(0.00032216025, shape=(), dtype=float32)","tf.Tensor(1.4111197e-07, shape=(), dtype=float32)","tf.Tensor(2.7028604e-05, shape=(), dtype=float32)"
141,"tf.Tensor(0.00032129622, shape=(), dtype=float32)","tf.Tensor(1.4532858e-07, shape=(), dtype=float32)","tf.Tensor(2.6496722e-05, shape=(), dtype=float32)"
142,"tf.Tensor(0.00032117494, shape=(), dtype=float32)","tf.Tensor(1.4394861e-07, shape=(), dtype=float32)","tf.Tensor(2.6458483e-05, shape=(), dtype=float32)"
143,"tf.Tensor(0.00032108044, shape=(), dtype=float32)","tf.Tensor(1.3971106e-07, shape=(), dtype=float32)","tf.Tensor(2.6536694e-05, shape=(), dtype=float32)"
144,"tf.Tensor(0.00032104197, shape=(), dtype=float32)","tf.Tensor(1.4095063e-07, shape=(), dtype=float32)","tf.Tensor(2.6466983e-05, shape=(), dtype=float32)"
145,"tf.Tensor(0.0003208271, shape=(), dtype=float32)","tf.Tensor(1.3965881e-07, shape=(), dtype=float32)","tf.Tensor(2.6353004e-05, shape=(), dtype=float32)"
146,"tf.Tensor(0.0003204786, shape=(), dtype=float32)","tf.Tensor(1.3758988e-07, shape=(), dtype=float32)","tf.Tensor(2.6195305e-05, shape=(), dtype=float32)"
147,"tf.Tensor(0.00032047404, shape=(), dtype=float32)","tf.Tensor(1.3757573e-07, shape=(), dtype=float32)","tf.Tensor(2.619046e-05, shape=(), dtype=float32)"
148,"tf.Tensor(0.00032019298, shape=(), dtype=float32)","tf.Tensor(1.4004331e-07, shape=(), dtype=float32)","tf.Tensor(2.6062531e-05, shape=(), dtype=float32)"
149,"tf.Tensor(0.0003224504, shape=(), dtype=float32)","tf.Tensor(1.7180245e-07, shape=(), dtype=float32)","tf.Tensor(2.7668542e-05, shape=(), dtype=float32)"
150,"tf.Tensor(0.00032017467, shape=(), dtype=float32)","tf.Tensor(1.4133967e-07, shape=(), dtype=float32)","tf.Tensor(2.606826e-05, shape=(), dtype=float32)"
151,"tf.Tensor(0.00031991463, shape=(), dtype=float32)","tf.Tensor(1.4580684e-07, shape=(), dtype=float32)","tf.Tensor(2.5965632e-05, shape=(), dtype=float32)"
